Orthogroup	longest_isoform_HydractiniaProteins	longest_isoform_ClytiaProteins
OG0000001	Hydractinia|LOC130647046, Hydractinia|LOC130647905, Hydractinia|LOC130647384, Hydractinia|LOC130647262, Hydractinia|LOC130647977	Clytia|LOC011116, Clytia|LOC017291, Clytia|LOC013818, Clytia|LOC000723, Clytia|LOC002625, Clytia|LOC002671
OG0000001	Hydractinia|LOC130614253, Hydractinia|LOC130614457	Clytia|LOC038945
OG0000001	Hydractinia|LOC130641721, Hydractinia|LOC130641722, Hydractinia|LOC130641723, Hydractinia|LOC130641724	Clytia|LOC018746, Clytia|LOC003740
OG0000001	Hydractinia|LOC130647270	Clytia|LOC012545, Clytia|LOC031843, Clytia|LOC011555, Clytia|LOC010573, Clytia|LOC007558, Clytia|LOC007122
OG0000004	Hydractinia|LOC130630115, Hydractinia|LOC130646094, Hydractinia|LOC130646093, Hydractinia|LOC130646092, Hydractinia|LOC130625081, Hydractinia|LOC130623239, Hydractinia|LOC130636856, Hydractinia|LOC130625055, Hydractinia|LOC130612826, Hydractinia|LOC130642405, Hydractinia|LOC130648527, Hydractinia|LOC130623118, Hydractinia|LOC130630113, Hydractinia|LOC130628683, Hydractinia|LOC130628651, Hydractinia|LOC130630089, Hydractinia|LOC130657814, Hydractinia|LOC130648568, Hydractinia|LOC130612827, Hydractinia|LOC130636855, Hydractinia|LOC130648526, Hydractinia|LOC130625187, Hydractinia|LOC130640695, Hydractinia|LOC130623022, Hydractinia|LOC130621119, Hydractinia|LOC130614601, Hydractinia|LOC130625205, Hydractinia|LOC130629937, Hydractinia|LOC130629964, Hydractinia|LOC130623159, Hydractinia|LOC130646193, Hydractinia|LOC130621190, Hydractinia|LOC130649439, Hydractinia|LOC130649185, Hydractinia|LOC130636680, Hydractinia|LOC130623641, Hydractinia|LOC130651353, Hydractinia|LOC130621342, Hydractinia|LOC130630224, Hydractinia|LOC130630233, Hydractinia|LOC130628638, Hydractinia|LOC130625774, Hydractinia|LOC130629942, Hydractinia|LOC130614452, Hydractinia|LOC130622896, Hydractinia|LOC130623132, Hydractinia|LOC130654739, Hydractinia|LOC130623236, Hydractinia|LOC130623112, Hydractinia|LOC130621225, Hydractinia|LOC130630128, Hydractinia|LOC130653854, Hydractinia|LOC130648076, Hydractinia|LOC130629890, Hydractinia|LOC130623610, Hydractinia|LOC130628672, Hydractinia|LOC130653782, Hydractinia|LOC130648852	Clytia|LOC020599
OG0000004	Hydractinia|LOC130631825, Hydractinia|LOC130625010, Hydractinia|LOC130623477, Hydractinia|LOC130613930, Hydractinia|LOC130644896, Hydractinia|LOC130648444, Hydractinia|LOC130622364, Hydractinia|LOC130647761, Hydractinia|LOC130645965, Hydractinia|LOC130614278, Hydractinia|LOC130645819, Hydractinia|LOC130630745, Hydractinia|LOC130630180, Hydractinia|LOC130635473, Hydractinia|LOC130645974, Hydractinia|LOC130648697, Hydractinia|LOC130614556, Hydractinia|LOC130641159, Hydractinia|LOC130646032, Hydractinia|LOC130646028, Hydractinia|LOC130646031, Hydractinia|LOC130624131, Hydractinia|LOC130646027, Hydractinia|LOC130623757, Hydractinia|LOC130625054, Hydractinia|LOC130642058, Hydractinia|LOC130646029, Hydractinia|LOC130623903, Hydractinia|LOC130623030, Hydractinia|LOC130647868, Hydractinia|LOC130625915, Hydractinia|LOC130643328, Hydractinia|LOC130623758, Hydractinia|LOC130623171, Hydractinia|LOC130622124, Hydractinia|LOC130629984, Hydractinia|LOC130649040, Hydractinia|LOC130662513, Hydractinia|LOC130644966, Hydractinia|LOC130612210, Hydractinia|LOC130645816	Clytia|LOC019196
OG0000011	Hydractinia|LOC130648062	Clytia|LOC039786
OG0000011	Hydractinia|LOC130613592	Clytia|LOC035717
OG0000011	Hydractinia|LOC130642361	Clytia|LOC018850
OG0000011	Hydractinia|LOC130636928	Clytia|LOC017556, Clytia|LOC017552, Clytia|LOC006563, Clytia|LOC045657, Clytia|LOC020754
OG0000011	Hydractinia|LOC130647152, Hydractinia|LOC130649583, Hydractinia|LOC130613862	Clytia|LOC011210, Clytia|LOC043665, Clytia|LOC005801
OG0000011	Hydractinia|LOC130630139	Clytia|LOC032289, Clytia|LOC043684, Clytia|LOC005472, Clytia|LOC001109, Clytia|LOC038723, Clytia|LOC000148, Clytia|LOC014378, Clytia|LOC016589, Clytia|LOC038634, Clytia|LOC029808, Clytia|LOC026545, Clytia|LOC018851, Clytia|LOC039785, Clytia|LOC027971, Clytia|LOC035015, Clytia|LOC044254
OG0000011	Hydractinia|LOC130612914, Hydractinia|LOC130653829, Hydractinia|LOC130613454, Hydractinia|LOC130630332	Clytia|LOC024584
OG0000012	Hydractinia|LOC130657890, Hydractinia|LOC130619234	Clytia|LOC024469
OG0000012	Hydractinia|LOC130649269, Hydractinia|LOC130645275, Hydractinia|LOC130629945, Hydractinia|LOC130644159, Hydractinia|LOC130645787, Hydractinia|LOC130648096, Hydractinia|LOC130646911	Clytia|LOC014876, Clytia|LOC020023, Clytia|LOC018498
OG0000012	Hydractinia|LOC130628946	Clytia|LOC022811, Clytia|LOC015573, Clytia|LOC023433, Clytia|LOC018212, Clytia|LOC025301, Clytia|LOC023432, Clytia|LOC018211, Clytia|LOC019429, Clytia|LOC025945
OG0000012	Hydractinia|LOC130624204, Hydractinia|LOC130654344	Clytia|LOC032409, Clytia|LOC031974
OG0000012	Hydractinia|LOC130636097, Hydractinia|LOC130645573	Clytia|LOC021441, Clytia|LOC027374, Clytia|LOC017462, Clytia|LOC017620
OG0000019	Hydractinia|LOC130636372	Clytia|LOC012416
OG0000019	Hydractinia|LOC130630437	Clytia|LOC035404, Clytia|LOC035412, Clytia|LOC035386, Clytia|LOC010107, Clytia|LOC010108, Clytia|LOC035413, Clytia|LOC036552, Clytia|LOC014947
OG0000019	Hydractinia|LOC130647034	Clytia|LOC012864, Clytia|LOC012865, Clytia|LOC014004, Clytia|LOC001016, Clytia|LOC028659, Clytia|LOC000972, Clytia|LOC004446
