Orthogroup	longest_isoform_ClytiaProteins	longest_isoform_XeniaProteins
OG0000001	Clytia|LOC_038945, Clytia|LOC_018746, Clytia|LOC_003740	Xenia|LOC124440507, Xenia|LOC124455698, Xenia|LOC124455501, Xenia|LOC124455697, Xenia|LOC124458084, Xenia|LOC124457412, Xenia|LOC124457175, Xenia|LOC124455420, Xenia|LOC124455419, Xenia|LOC124457202, Xenia|LOC124457177, Xenia|LOC124457181, Xenia|LOC124457176, Xenia|LOC124457877, Xenia|LOC124454843, Xenia|LOC124454845, Xenia|LOC124454818, Xenia|LOC124454927, Xenia|LOC124454840, Xenia|LOC124454363, Xenia|LOC124454411, Xenia|LOC124454891, Xenia|LOC124454598, Xenia|LOC124454929, Xenia|LOC124454887, Xenia|LOC124454429
OG0000001	Clytia|LOC_042567, Clytia|LOC_010802, Clytia|LOC_001148, Clytia|LOC_000029	Xenia|LOC124439020, Xenia|LOC124455551, Xenia|LOC124457339, Xenia|LOC124457372, Xenia|LOC124457661, Xenia|LOC124454842, Xenia|LOC124457168, Xenia|LOC124433976, Xenia|LOC124454803, Xenia|LOC124454794, Xenia|LOC124457291, Xenia|LOC124458347, Xenia|LOC124454593, Xenia|LOC124454808, Xenia|LOC124454909, Xenia|LOC124451203, Xenia|LOC124451183, Xenia|LOC124454333, Xenia|LOC124455006, Xenia|LOC124454274, Xenia|LOC124454817, Xenia|LOC124457332, Xenia|LOC124454689, Xenia|LOC124454742, Xenia|LOC124454802, Xenia|LOC124454899, Xenia|LOC124454964, Xenia|LOC124454957, Xenia|LOC124455691
OG0000001	Clytia|LOC_012545, Clytia|LOC_031843, Clytia|LOC_011555, Clytia|LOC_010573, Clytia|LOC_007558	Xenia|LOC124454117, Xenia|LOC124458207
OG0000011	Clytia|LOC_039786, Clytia|LOC_035717, Clytia|LOC_042158, Clytia|LOC_008113, Clytia|LOC_018850	Xenia|LOC124451985, Xenia|LOC124455801, Xenia|LOC124440433, Xenia|LOC124459403, Xenia|LOC124439427, Xenia|LOC124457279
OG0000011	Clytia|LOC_011210, Clytia|LOC_043665, Clytia|LOC_005801	Xenia|LOC124459404
OG0000011	Clytia|LOC_005948	Xenia|LOC124435992
OG0000012	Clytia|LOC_024469	Xenia|LOC124447075, Xenia|LOC124454885, Xenia|LOC124439988, Xenia|LOC124456381, Xenia|LOC124451709, Xenia|LOC124451202, Xenia|LOC124440963, Xenia|LOC124446563, Xenia|LOC124455425, Xenia|LOC124438616, Xenia|LOC124433742, Xenia|LOC124453577
OG0000012	Clytia|LOC_021623	Xenia|LOC124454020, Xenia|LOC124446994, Xenia|LOC124445116
OG0000012	Clytia|LOC_034846	Xenia|LOC124454063, Xenia|LOC124453911
OG0000012	Clytia|LOC_022811, Clytia|LOC_015573, Clytia|LOC_023433, Clytia|LOC_018212, Clytia|LOC_025301, Clytia|LOC_023432, Clytia|LOC_018211, Clytia|LOC_019429, Clytia|LOC_025945	Xenia|LOC124441532
OG0000012	Clytia|LOC_032409, Clytia|LOC_031974	Xenia|LOC124449681
OG0000012	Clytia|LOC_038611	Xenia|LOC124433669, Xenia|LOC124439951, Xenia|LOC124433625, Xenia|LOC124441608, Xenia|LOC124456922, Xenia|LOC124459025, Xenia|LOC124448666, Xenia|LOC124453580, Xenia|LOC124439950
OG0000012	Clytia|LOC_021441, Clytia|LOC_027374, Clytia|LOC_017462, Clytia|LOC_017620	Xenia|LOC124456874, Xenia|LOC124449211, Xenia|LOC124438747, Xenia|LOC124457630, Xenia|LOC124448662, Xenia|LOC124442701, Xenia|LOC124441609, Xenia|LOC124459032, Xenia|LOC124448663, Xenia|LOC124451260
OG0000020	Clytia|LOC_018745	Xenia|LOC124458392, Xenia|LOC124459319, Xenia|LOC124445123, Xenia|LOC124456936, Xenia|LOC124449225, Xenia|LOC124451290, Xenia|LOC124452110, Xenia|LOC124455268, Xenia|LOC124456909
OG0000027	Clytia|LOC_040069	Xenia|LOC124452960, Xenia|LOC124445656
OG0000028	Clytia|LOC_014132	Xenia|LOC124456973, Xenia|LOC124457362, Xenia|LOC124456871, Xenia|LOC124435883, Xenia|LOC124456450, Xenia|LOC124440384, Xenia|LOC124456908, Xenia|LOC124447418, Xenia|LOC124449181, Xenia|LOC124437749, Xenia|LOC124456948, Xenia|LOC124456913, Xenia|LOC124447147, Xenia|LOC124449248, Xenia|LOC124449119, Xenia|LOC124452042, Xenia|LOC124452084
